x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
-3.2670548,4.2255397,41941_469_D2_2,19,Centrosome,TERB2,ENSG00000167014,U-251 MG , 14 , 5.32 , 6456.6429 , 9.1637 , 0 , 240.0145 , 2.2143 , 2.9633 , 13.9153
-2.838445,4.0443163,41709_472_E6_2,19,Centrosome,FKBP11,ENSG00000134285,A-431 , 17 , 11.5139 , 7316.2941 , 10.8486 , 6.8235 , 260.2537 , 9.2353 , 3.0305 , 20.2787
-3.118082,4.1991353,41709_472_E6_1,19,Centrosome,FKBP11,ENSG00000134285,A-431 , 16 , 8.3585 , 8601.3125 , 8.7838 , 0.875 , 298.6418 , 6.25 , 3.2533 , 22.4493
-2.9711015,4.0933514,41709_469_E6_1,19,Centrosome,FKBP11,ENSG00000134285,U-251 MG , 17 , 15.3866 , 5849.7647 , 17.9136 , 2.7647 , 234.022 , 10.8235 , 2.7641 , 12.1012
-3.452649,3.5046203,40599_494_H10_2,19,Centrosome,FOPNL,ENSG00000133393,U-2 OS , 22 , 14.583 , 6493.2273 , 13.5161 , 0 , 253.9291 , 11.9091 , 2.4556 , 13.6958
-3.6983995,3.98844,41450_866_A2_3,19,Centrosome,CNOT10,ENSG00000182973,HEK 293 , 45 , 7.1179 , 6812.4889 , 7.4048 , 0 , 247.5899 , 5.4444 , 1.9148 , 9.7503
-3.719913,3.796123,41450_866_A2_2,19,Centrosome,CNOT10,ENSG00000182973,HEK 293 , 47 , 6.9958 , 7008.0638 , 6.4118 , 0.1277 , 259.8633 , 5.8511 , 1.6678 , 6.834
-3.4197416,2.7393706,41398_509_D10_2,19,Centrosome,C10orf107,ENSG00000183346,U-251 MG , 18 , 16.4825 , 6033.1667 , 14.7449 , 2.1111 , 230.648 , 13.2222 , 2.5072 , 14.2386
-3.4307623,2.6304822,41398_509_D10_1,19,Centrosome,C10orf107,ENSG00000183346,U-251 MG , 21 , 17.4745 , 5743.0476 , 15.1039 , 3.4286 , 224.4954 , 14.0476 , 2.2261 , 10.2994
-3.5704515,3.2467477,41398_1381_A4_6,19,Centrosome,C10orf107,ENSG00000183346,SH-SY5Y , 52 , 12.6091 , 4921.0385 , 7.2716 , 8.8846 , 192.9219 , 11.6731 , 1.0094 , 2.9283
-3.6646428,3.4661431,41398_1381_A4_5,19,Centrosome,C10orf107,ENSG00000183346,SH-SY5Y , 54 , 11.9311 , 4705.9259 , 7.5076 , 9.3704 , 185.7332 , 10.9074 , 1.5219 , 8.225
-3.59097,3.7652845,40717_557_D6_7,19,Centrosome,MED20,ENSG00000124641,A-431 , 11 , 7.2734 , 7965.2727 , 7.8354 , 0 , 280.3045 , 5.3636 , 2.8561 , 18.867
-3.3057897,3.816309,40717_557_D6_4,19,Centrosome,MED20,ENSG00000124641,A-431 , 9 , 7.9774 , 8515.2222 , 8.9509 , 0.6667 , 302.7828 , 6.1111 , 3.4895 , 32.4822
-3.681261,4.145894,38933_416_C12_2,19,Centrosome,C11orf80,ENSG00000173715,U-251 MG , 18 , 9.0815 , 5536.6111 , 8.0005 , 2.8333 , 215.8699 , 7.7222 , 2.205 , 13.3919
-3.7899997,4.189217,38933_415_C12_2,19,Centrosome,C11orf80,ENSG00000173715,A-431 , 16 , 11.0733 , 7043.875 , 9.7033 , 0.875 , 253.5175 , 9.4375 , 1.8452 , 8.6568
-3.5267944,4.0377684,52217_760_D10_2,19,Centrosome,VPS25,ENSG00000131475,U-2 OS , 13 , 7.4154 , 7961.9231 , 9.0759 , 0 , 293.6982 , 5.4615 , 2.6308 , 18.2774
