x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
7.2091684,-1.779301,64013_1254_G5_1,23,Mitochondria,MAIP1,ENSG00000162972,CACO-2 , 37 , 5.732 , 7879.8649 , 10.4784 , 0 , 283.5072 , 2.1622 , 4.5816 , 35.6673
6.9512506,-1.3594449,64013_1194_D1_2,23,Mitochondria,MAIP1,ENSG00000162972,PC-3 , 20 , 16.0012 , 6769.25 , 21.8859 , 0 , 250.3493 , 8 , 2.8638 , 12.178
6.8794928,-1.2365676,64013_1194_D1_1,23,Mitochondria,MAIP1,ENSG00000162972,PC-3 , 18 , 15.9985 , 5636.8889 , 22.3721 , 0 , 206.8878 , 7.6667 , 2.7502 , 10.9047
7.1685824,-1.3398759,64013_1191_D1_2,23,Mitochondria,MAIP1,ENSG00000162972,U-2 OS , 10 , 8.948 , 6832.3 , 14.9918 , 0 , 272.8049 , 3.9 , 3.7526 , 20.5899
6.556527,-1.1322284,64013_1191_D1_1,23,Mitochondria,MAIP1,ENSG00000162972,U-2 OS , 12 , 5.8062 , 6896 , 8.8635 , 0.3333 , 265.8959 , 3.0833 , 3.9459 , 24.8737
5.811899,-0.8572578,64002_1277_D2_7,23,Mitochondria,LRP11,ENSG00000120256,HeLa , 8 , 19.6011 , 7188.75 , 18.3366 , 5.5 , 285.8122 , 14.875 , 2.6791 , 12.8617
5.8751183,-1.3927766,64002_1277_D2_6,23,Mitochondria,LRP11,ENSG00000120256,HeLa , 7 , 22.2367 , 7314.1429 , 18.2953 , 8.5714 , 281.0592 , 17.7143 , 1.9662 , 6.5803
5.15833,-0.73753434,64002_1163_D2_2,23,Mitochondria,LRP11,ENSG00000120256,SiHa , 17 , 33.1449 , 6161.2353 , 31.6598 , 1.7647 , 247.4097 , 24.1765 , 2.1824 , 6.6695
5.703945,-0.99166495,64002_1163_D2_1,23,Mitochondria,LRP11,ENSG00000120256,SiHa , 14 , 30.5518 , 6968.0714 , 30.4066 , 0 , 272.4477 , 21.7143 , 2.2202 , 6.8603
6.345814,-1.1991433,64002_1159_D2_2,23,Mitochondria,LRP11,ENSG00000120256,U-2 OS , 11 , 32.3364 , 9058.4545 , 27.961 , 8.4545 , 361.4062 , 25.1818 , 2.0015 , 6.0819
6.216409,-1.2208692,64002_1159_D2_1,23,Mitochondria,LRP11,ENSG00000120256,U-2 OS , 17 , 27.912 , 7228 , 25.9683 , 0 , 285.2646 , 20.8235 , 1.996 , 6.0237
7.095667,-1.3133007,63987_1277_B2_3,23,Mitochondria,FAM160A2,ENSG00000051009,HeLa , 11 , 11.3817 , 5993.1818 , 16.177 , 0 , 227.9194 , 5.2727 , 2.2497 , 6.6142
6.7676105,-1.1835191,63987_1277_B2_2,23,Mitochondria,FAM160A2,ENSG00000051009,HeLa , 10 , 15.8265 , 8318.3 , 21.4101 , 0 , 309.7034 , 7.4 , 2.4109 , 8.0562
6.6987867,-1.8683559,63987_1274_E5_2,23,Mitochondria,FAM160A2,ENSG00000051009,U-2 OS , 12 , 11.3396 , 8059.6667 , 23.5306 , 0 , 308.7185 , 3.75 , 4.4473 , 25.6625
6.625578,-1.931826,63987_1274_E5_1,23,Mitochondria,FAM160A2,ENSG00000051009,U-2 OS , 8 , 10.698 , 8790 , 20.6293 , 0 , 336.1027 , 3.875 , 4.8463 , 35.8719
